paywall_event_id,article_id,reader_id,event_at,event_type,offer_name,conversion_status,revenue_pence
70000049,100695,200114,2026-07-20 15:53:00,meter_limit,Digital Plus,dismissed,0
70000050,100509,200563,2026-06-01 16:10:00,paywall_view,Intro Offer,trial_started,0
70000051,100879,200294,2026-06-02 17:27:00,meter_limit,Annual Saver,converted,2499
70000052,100730,200661,2026-06-03 18:44:00,paywall_view,Digital,viewed,0
70000053,100758,200913,2026-06-04 19:01:00,meter_limit,Digital Plus,dismissed,0
70000054,100231,200930,2026-06-05 20:18:00,paywall_view,Intro Offer,trial_started,0
70000055,100097,200957,2026-06-06 21:35:00,meter_limit,Annual Saver,converted,2499
70000056,100541,200788,2026-06-07 08:52:00,paywall_view,Digital,viewed,0
70000057,100924,200443,2026-06-08 09:09:00,meter_limit,Digital Plus,dismissed,0
70000058,100503,200101,2026-06-09 10:26:00,paywall_view,Intro Offer,trial_started,0
70000059,100404,200532,2026-06-10 11:43:00,meter_limit,Annual Saver,converted,2499
70000060,100866,200808,2026-06-11 12:00:00,paywall_view,Digital,viewed,0
70000061,100711,200206,2026-06-12 13:17:00,meter_limit,Digital Plus,dismissed,0
70000062,100109,200360,2026-06-13 14:34:00,paywall_view,Intro Offer,trial_started,0
70000063,100211,200928,2026-06-14 15:51:00,meter_limit,Annual Saver,converted,2499
70000064,100350,200286,2026-06-15 16:08:00,paywall_view,Digital,viewed,0
70000065,100270,200674,2026-06-16 17:25:00,meter_limit,Digital Plus,dismissed,0
70000066,100156,200521,2026-06-17 18:42:00,paywall_view,Intro Offer,trial_started,0
70000067,100331,200963,2026-06-18 19:59:00,meter_limit,Annual Saver,converted,2499
70000068,100662,200696,2026-06-19 20:16:00,paywall_view,Digital,viewed,0
70000069,100339,200946,2026-06-20 21:33:00,meter_limit,Digital Plus,dismissed,0
70000070,100943,200169,2026-06-21 08:50:00,paywall_view,Intro Offer,trial_started,0
70000071,100514,200614,2026-06-22 09:07:00,meter_limit,Annual Saver,converted,899
70000072,100787,200712,2026-06-23 10:24:00,paywall_view,Digital,viewed,0
70000073,100350,200721,2026-06-24 11:41:00,meter_limit,Digital Plus,dismissed,0
70000074,100724,200972,2026-06-25 12:58:00,paywall_view,Intro Offer,trial_started,0
70000075,100352,200989,2026-06-26 13:15:00,meter_limit,Annual Saver,converted,2499
70000076,100227,200903,2026-06-27 14:32:00,paywall_view,Digital,viewed,0
70000077,100388,200567,2026-06-28 15:49:00,meter_limit,Digital Plus,dismissed,0
70000078,100249,200559,2026-06-29 16:06:00,paywall_view,Intro Offer,trial_started,0
70000079,100073,200574,2026-06-30 17:23:00,meter_limit,Annual Saver,converted,899
70000080,100539,200830,2026-07-01 18:40:00,paywall_view,Digital,viewed,0
70000081,100971,200157,2026-07-02 19:57:00,meter_limit,Digital Plus,dismissed,0
70000082,100365,200563,2026-07-03 20:14:00,paywall_view,Intro Offer,trial_started,0
70000083,100201,200572,2026-07-04 21:31:00,meter_limit,Annual Saver,converted,899
70000084,100639,200226,2026-07-05 08:48:00,paywall_view,Digital,viewed,0
70000085,100817,200063,2026-07-06 09:05:00,meter_limit,Digital Plus,dismissed,0
70000086,100534,200509,2026-07-07 10:22:00,paywall_view,Intro Offer,trial_started,0
70000087,100427,200890,2026-07-08 11:39:00,meter_limit,Annual Saver,converted,2499
70000088,100800,200506,2026-07-09 12:56:00,paywall_view,Digital,viewed,0
70000089,100193,200325,2026-07-10 13:13:00,meter_limit,Digital Plus,dismissed,0
70000090,100478,200610,2026-07-11 14:30:00,paywall_view,Intro Offer,trial_started,0
70000091,100295,200479,2026-07-12 15:47:00,meter_limit,Annual Saver,converted,899
70000092,100302,200868,2026-07-13 16:04:00,paywall_view,Digital,viewed,0
70000093,100887,200806,2026-07-14 17:21:00,meter_limit,Digital Plus,dismissed,0
70000094,100975,200485,2026-07-15 18:38:00,paywall_view,Intro Offer,trial_started,0
70000095,100786,200067,2026-07-16 19:55:00,meter_limit,Annual Saver,converted,1299
70000096,100764,200379,2026-07-17 20:12:00,paywall_view,Digital,viewed,0
70000097,100961,200243,2026-07-18 21:29:00,meter_limit,Digital Plus,dismissed,0
70000098,100886,200694,2026-07-19 08:46:00,paywall_view,Intro Offer,trial_started,0
70000099,100951,200762,2026-07-20 09:03:00,meter_limit,Annual Saver,converted,899
70000100,100893,200058,2026-06-01 10:20:00,paywall_view,Digital,viewed,0
70000101,100702,200198,2026-06-02 11:37:00,meter_limit,Digital Plus,dismissed,0
70000102,100988,200629,2026-06-03 12:54:00,paywall_view,Intro Offer,trial_started,0
70000103,100004,200028,2026-06-04 13:11:00,meter_limit,Annual Saver,converted,1299
70000104,100252,200316,2026-06-05 14:28:00,paywall_view,Digital,viewed,0
70000105,100360,200344,2026-06-06 15:45:00,meter_limit,Digital Plus,dismissed,0
70000106,100142,200781,2026-06-07 16:02:00,paywall_view,Intro Offer,trial_started,0
70000107,100337,200470,2026-06-08 17:19:00,meter_limit,Annual Saver,converted,2499
70000108,100668,200675,2026-06-09 18:36:00,paywall_view,Digital,viewed,0
70000109,100539,200899,2026-06-10 19:53:00,meter_limit,Digital Plus,dismissed,0
70000110,100027,200104,2026-06-11 20:10:00,paywall_view,Intro Offer,trial_started,0
70000111,100264,200245,2026-06-12 21:27:00,meter_limit,Annual Saver,converted,2499
70000112,100437,200687,2026-06-13 08:44:00,paywall_view,Digital,viewed,0
70000113,100119,200843,2026-06-14 09:01:00,meter_limit,Digital Plus,dismissed,0
70000114,100365,200498,2026-06-15 10:18:00,paywall_view,Intro Offer,trial_started,0
70000115,100768,200860,2026-06-16 11:35:00,meter_limit,Annual Saver,converted,2499
70000116,100770,200476,2026-06-17 12:52:00,paywall_view,Digital,viewed,0
70000117,100184,200550,2026-06-18 13:09:00,meter_limit,Digital Plus,dismissed,0
70000118,100705,200202,2026-06-19 14:26:00,paywall_view,Intro Offer,trial_started,0
70000119,100570,200079,2026-06-20 15:43:00,meter_limit,Annual Saver,converted,2499
70000120,100783,200062,2026-06-21 16:00:00,paywall_view,Digital,viewed,0
70000121,100315,200368,2026-06-22 17:17:00,meter_limit,Digital Plus,dismissed,0
70000122,100582,200078,2026-06-23 18:34:00,paywall_view,Intro Offer,trial_started,0
70000123,100338,200537,2026-06-24 19:51:00,meter_limit,Annual Saver,converted,899
70000124,100569,200600,2026-06-25 20:08:00,paywall_view,Digital,viewed,0
70000125,100140,200288,2026-06-26 21:25:00,meter_limit,Digital Plus,dismissed,0
70000126,100243,200900,2026-06-27 08:42:00,paywall_view,Intro Offer,trial_started,0
70000127,100788,200580,2026-06-28 09:59:00,meter_limit,Annual Saver,converted,2499
70000128,100645,200552,2026-06-29 10:16:00,paywall_view,Digital,viewed,0
70000129,100654,200020,2026-06-30 11:33:00,meter_limit,Digital Plus,dismissed,0
70000130,100523,200828,2026-07-01 12:50:00,paywall_view,Intro Offer,trial_started,0
70000131,100596,200132,2026-07-02 13:07:00,meter_limit,Annual Saver,converted,2499
70000132,100829,200399,2026-07-03 14:24:00,paywall_view,Digital,viewed,0
70000133,100278,200834,2026-07-04 15:41:00,meter_limit,Digital Plus,dismissed,0
70000134,100979,200630,2026-07-05 16:58:00,paywall_view,Intro Offer,trial_started,0
70000135,100645,200424,2026-07-06 17:15:00,meter_limit,Annual Saver,converted,2499
70000136,100211,200569,2026-07-07 18:32:00,paywall_view,Digital,viewed,0
70000137,100474,200003,2026-07-08 19:49:00,meter_limit,Digital Plus,dismissed,0
70000138,100815,200941,2026-07-09 20:06:00,paywall_view,Intro Offer,trial_started,0
70000139,100003,200534,2026-07-10 21:23:00,meter_limit,Annual Saver,converted,1299
70000140,100465,200828,2026-07-11 08:40:00,paywall_view,Digital,viewed,0
70000141,100309,200014,2026-07-12 09:57:00,meter_limit,Digital Plus,dismissed,0
70000142,100710,200841,2026-07-13 10:14:00,paywall_view,Intro Offer,trial_started,0
70000143,100973,200884,2026-07-14 11:31:00,meter_limit,Annual Saver,converted,1299
70000144,100195,200735,2026-07-15 12:48:00,paywall_view,Digital,viewed,0
70000145,100897,200552,2026-07-16 13:05:00,meter_limit,Digital Plus,dismissed,0
70000146,100090,200210,2026-07-17 14:22:00,paywall_view,Intro Offer,trial_started,0
70000147,100065,200473,2026-07-18 15:39:00,meter_limit,Annual Saver,converted,2499
70000148,100944,200529,2026-07-19 16:56:00,paywall_view,Digital,viewed,0
70000149,100924,200284,2026-07-20 17:13:00,meter_limit,Digital Plus,dismissed,0
70000150,100381,200068,2026-06-01 18:30:00,paywall_view,Intro Offer,trial_started,0
70000151,100284,200220,2026-06-02 19:47:00,meter_limit,Annual Saver,converted,1299
70000152,100176,200202,2026-06-03 20:04:00,paywall_view,Digital,viewed,0
70000153,100072,200570,2026-06-04 21:21:00,meter_limit,Digital Plus,dismissed,0
70000154,100005,200202,2026-06-05 08:38:00,paywall_view,Intro Offer,trial_started,0
70000155,100606,200865,2026-06-06 09:55:00,meter_limit,Annual Saver,converted,899
70000156,100527,200172,2026-06-07 10:12:00,paywall_view,Digital,viewed,0
70000157,100427,200909,2026-06-08 11:29:00,meter_limit,Digital Plus,dismissed,0
70000158,100585,200920,2026-06-09 12:46:00,paywall_view,Intro Offer,trial_started,0
70000159,100796,200421,2026-06-10 13:03:00,meter_limit,Annual Saver,converted,2499
70000160,100133,200801,2026-06-11 14:20:00,paywall_view,Digital,viewed,0
70000161,100995,2004,2026-06-12 15:37:00,meter_limit,Digital Plus,dismissed,0
70000162,100322,200457,2026-06-13 16:54:00,paywall_view,Intro Offer,trial_started,0
70000163,100783,200233,2026-06-14 17:11:00,meter_limit,Annual Saver,converted,2499
70000164,100289,200255,2026-06-15 18:28:00,paywall_view,Digital,viewed,0
70000165,100726,200411,2026-06-16 19:45:00,meter_limit,Digital Plus,dismissed,0
70000166,100706,200734,2026-06-17 20:02:00,paywall_view,Intro Offer,trial_started,0
70000167,100781,200678,2026-06-18 21:19:00,meter_limit,Annual Saver,converted,2499
70000168,100036,200127,2026-06-19 08:36:00,paywall_view,Digital,viewed,0
70000169,100845,200761,2026-06-20 09:53:00,meter_limit,Digital Plus,dismissed,0
70000170,100636,200341,2026-06-21 10:10:00,paywall_view,Intro Offer,trial_started,0
70000171,100563,200559,2026-06-22 11:27:00,meter_limit,Annual Saver,converted,899
70000172,100708,200211,2026-06-23 12:44:00,paywall_view,Digital,viewed,0
70000173,100979,200241,2026-06-24 13:01:00,meter_limit,Digital Plus,dismissed,0
70000174,100027,200591,2026-06-25 14:18:00,paywall_view,Intro Offer,trial_started,0
70000175,100772,200648,2026-06-26 15:35:00,meter_limit,Annual Saver,converted,899
70000176,100438,200718,2026-06-27 16:52:00,paywall_view,Digital,viewed,0
70000177,100155,200803,2026-06-28 17:09:00,meter_limit,Digital Plus,dismissed,0
70000178,100003,200017,2026-06-29 18:26:00,paywall_view,Intro Offer,trial_started,0
70000179,100225,200266,2026-06-30 19:43:00,meter_limit,Annual Saver,converted,899
70000180,100213,200697,2026-07-01 20:00:00,paywall_view,Digital,viewed,0
70000181,100368,200490,2026-07-02 21:17:00,meter_limit,Digital Plus,dismissed,0
70000182,100260,200668,2026-07-03 08:34:00,paywall_view,Intro Offer,trial_started,0
70000183,100535,200538,2026-07-04 09:51:00,meter_limit,Annual Saver,converted,899
70000184,100846,200715,2026-07-05 10:08:00,paywall_view,Digital,viewed,0
70000185,100279,200177,2026-07-06 11:25:00,meter_limit,Digital Plus,dismissed,0
70000186,100707,200360,2026-07-07 12:42:00,paywall_view,Intro Offer,trial_started,0
70000187,100161,200002,2026-07-08 13:59:00,meter_limit,Annual Saver,converted,1299
70000188,100336,200893,2026-07-09 14:16:00,paywall_view,Digital,viewed,0
70000189,100292,200034,2026-07-10 15:33:00,meter_limit,Digital Plus,dismissed,0
70000190,100770,200274,2026-07-11 16:50:00,paywall_view,Intro Offer,trial_started,0
70000191,100939,200815,2026-07-12 17:07:00,meter_limit,Annual Saver,converted,1299
70000192,100169,200092,2026-07-13 18:24:00,paywall_view,Digital,viewed,0
70000193,100942,200013,2026-07-14 19:41:00,meter_limit,Digital Plus,dismissed,0
70000194,100120,200121,2026-07-15 20:58:00,paywall_view,Intro Offer,trial_started,0
70000195,100540,200447,2026-07-16 21:15:00,meter_limit,Annual Saver,converted,2499
70000196,100241,200791,2026-07-17 08:32:00,paywall_view,Digital,viewed,0
70000197,100722,200843,2026-07-18 09:49:00,meter_limit,Digital Plus,dismissed,0
70000198,100668,200504,2026-07-19 10:06:00,paywall_view,Intro Offer,trial_started,0
70000199,100769,200533,2026-07-20 11:23:00,meter_limit,Annual Saver,converted,899
70000200,100711,200680,2026-06-01 12:40:00,paywall_view,Digital,viewed,0
70000201,100683,200619,2026-06-02 13:57:00,meter_limit,Digital Plus,dismissed,0
70000202,100095,200546,2026-06-03 14:14:00,paywall_view,Intro Offer,trial_started,0
70000203,100033,200221,2026-06-04 15:31:00,meter_limit,Annual Saver,converted,1299
70000204,100991,200918,2026-06-05 16:48:00,paywall_view,Digital,viewed,0
70000205,100817,200356,2026-06-06 17:05:00,meter_limit,Digital Plus,dismissed,0
70000206,100158,200633,2026-06-07 18:22:00,paywall_view,Intro Offer,trial_started,0
70000207,100523,200121,2026-06-08 19:39:00,meter_limit,Annual Saver,converted,2499
70000208,100413,200536,2026-06-09 20:56:00,paywall_view,Digital,viewed,0
70000209,100712,200718,2026-06-10 21:13:00,meter_limit,Digital Plus,dismissed,0
70000210,100787,200328,2026-06-11 08:30:00,paywall_view,Intro Offer,trial_started,0
70000211,100912,200483,2026-06-12 09:47:00,meter_limit,Annual Saver,converted,1299
70000212,100417,200998,2026-06-13 10:04:00,paywall_view,Digital,viewed,0
70000213,100217,200621,2026-06-14 11:21:00,meter_limit,Digital Plus,dismissed,0
70000214,100378,200434,2026-06-15 12:38:00,paywall_view,Intro Offer,trial_started,0
70000215,100287,200281,2026-06-16 13:55:00,meter_limit,Annual Saver,converted,899
70000216,100790,200576,2026-06-17 14:12:00,paywall_view,Digital,viewed,0
70000217,100858,200129,2026-06-18 15:29:00,meter_limit,Digital Plus,dismissed,0
70000218,100899,200412,2026-06-19 16:46:00,paywall_view,Intro Offer,trial_started,0
70000219,100795,200469,2026-06-20 17:03:00,meter_limit,Annual Saver,converted,1299
70000220,100104,200810,2026-06-21 18:20:00,paywall_view,Digital,viewed,0
70000221,100918,200595,2026-06-22 19:37:00,meter_limit,Digital Plus,dismissed,0
70000222,100905,200470,2026-06-23 20:54:00,paywall_view,Intro Offer,trial_started,0
70000223,100158,200889,2026-06-24 21:11:00,meter_limit,Annual Saver,converted,1299
70000224,100619,200709,2026-06-25 08:28:00,paywall_view,Digital,viewed,0
70000225,100837,200503,2026-06-26 09:45:00,meter_limit,Digital Plus,dismissed,0
70000226,100794,200224,2026-06-27 10:02:00,paywall_view,Intro Offer,trial_started,0
70000227,100013,200441,2026-06-28 11:19:00,meter_limit,Annual Saver,converted,1299
70000228,100254,200991,2026-06-29 12:36:00,paywall_view,Digital,viewed,0
70000229,100393,200158,2026-06-30 13:53:00,meter_limit,Digital Plus,dismissed,0
70000230,100995,200807,2026-07-01 14:10:00,paywall_view,Intro Offer,trial_started,0
70000231,100252,200044,2026-07-02 15:27:00,meter_limit,Annual Saver,converted,899
70000232,100665,200472,2026-07-03 16:44:00,paywall_view,Digital,viewed,0
70000233,100603,200263,2026-07-04 17:01:00,meter_limit,Digital Plus,dismissed,0
70000234,100363,200221,2026-07-05 18:18:00,paywall_view,Intro Offer,trial_started,0
70000235,100130,200752,2026-07-06 19:35:00,meter_limit,Annual Saver,converted,899
70000236,100114,200025,2026-07-07 20:52:00,paywall_view,Digital,viewed,0
70000237,100519,200857,2026-07-08 21:09:00,meter_limit,Digital Plus,dismissed,0
70000238,100719,200948,2026-07-09 08:26:00,paywall_view,Intro Offer,trial_started,0
70000239,100531,200163,2026-07-10 09:43:00,meter_limit,Annual Saver,converted,899
70000240,100027,200199,2026-07-11 10:00:00,paywall_view,Digital,viewed,0
70000241,100479,200972,2026-07-12 11:17:00,meter_limit,Digital Plus,dismissed,0
70000242,100874,200614,2026-07-13 12:34:00,paywall_view,Intro Offer,trial_started,0
70000243,100537,200842,2026-07-14 13:51:00,meter_limit,Annual Saver,converted,1299
70000244,100878,200238,2026-07-15 14:08:00,paywall_view,Digital,viewed,0
70000245,100254,200226,2026-07-16 15:25:00,meter_limit,Digital Plus,dismissed,0
70000246,100979,200448,2026-07-17 16:42:00,paywall_view,Intro Offer,trial_started,0
70000247,100684,200027,2026-07-18 17:59:00,meter_limit,Annual Saver,converted,1299
70000248,100986,200149,2026-07-19 18:16:00,paywall_view,Digital,viewed,0
70000249,100933,200027,2026-07-20 19:33:00,meter_limit,Digital Plus,dismissed,0
70000250,100079,200250,2026-06-01 20:50:00,paywall_view,Intro Offer,trial_started,0
70000251,100352,200526,2026-06-02 21:07:00,meter_limit,Annual Saver,converted,1299
70000252,100438,200745,2026-06-03 08:24:00,paywall_view,Digital,viewed,0
70000253,100706,200304,2026-06-04 09:41:00,meter_limit,Digital Plus,dismissed,0
70000254,100060,200171,2026-06-05 10:58:00,paywall_view,Intro Offer,trial_started,0
70000255,100387,200959,2026-06-06 11:15:00,meter_limit,Annual Saver,converted,2499
70000256,100330,200162,2026-06-07 12:32:00,paywall_view,Digital,viewed,0
70000257,100304,200792,2026-06-08 13:49:00,meter_limit,Digital Plus,dismissed,0
70000258,100075,200459,2026-06-09 14:06:00,paywall_view,Intro Offer,trial_started,0
70000259,100576,200401,2026-06-10 15:23:00,meter_limit,Annual Saver,converted,1299
70000260,100217,200522,2026-06-11 16:40:00,paywall_view,Digital,viewed,0
70000261,100147,200805,2026-06-12 17:57:00,meter_limit,Digital Plus,dismissed,0
70000262,100890,200376,2026-06-13 18:14:00,paywall_view,Intro Offer,trial_started,0
70000263,100917,200238,2026-06-14 19:31:00,meter_limit,Annual Saver,converted,899
70000264,100499,200093,2026-06-15 20:48:00,paywall_view,Digital,viewed,0
70000265,100358,200489,2026-06-16 21:05:00,meter_limit,Digital Plus,dismissed,0
70000266,100964,200382,2026-06-17 08:22:00,paywall_view,Intro Offer,trial_started,0
70000267,100414,200639,2026-06-18 09:39:00,meter_limit,Annual Saver,converted,899
70000268,100223,200423,2026-06-19 10:56:00,paywall_view,Digital,viewed,0
70000269,100802,200499,2026-06-20 11:13:00,meter_limit,Digital Plus,dismissed,0
70000270,100906,200774,2026-06-21 12:30:00,paywall_view,Intro Offer,trial_started,0
70000271,100357,200940,2026-06-22 13:47:00,meter_limit,Annual Saver,converted,1299
70000272,100619,200676,2026-06-23 14:04:00,paywall_view,Digital,viewed,0
70000273,100885,200323,2026-06-24 15:21:00,meter_limit,Digital Plus,dismissed,0
70000274,100929,200524,2026-06-25 16:38:00,paywall_view,Intro Offer,trial_started,0
70000275,100663,200635,2026-06-26 17:55:00,meter_limit,Annual Saver,converted,1299
70000276,100995,200501,2026-06-27 18:12:00,paywall_view,Digital,viewed,0
70000277,100325,200252,2026-06-28 19:29:00,meter_limit,Digital Plus,dismissed,0
70000278,100301,200349,2026-06-29 20:46:00,paywall_view,Intro Offer,trial_started,0
70000279,100457,200291,2026-06-30 21:03:00,meter_limit,Annual Saver,converted,1299
70000280,100269,200021,2026-07-01 08:20:00,paywall_view,Digital,viewed,0
70000281,100147,200546,2026-07-02 09:37:00,meter_limit,Digital Plus,dismissed,0
70000282,100944,200397,2026-07-03 10:54:00,paywall_view,Intro Offer,trial_started,0
70000283,100878,200459,2026-07-04 11:11:00,meter_limit,Annual Saver,converted,2499
70000284,100537,200497,2026-07-05 12:28:00,paywall_view,Digital,viewed,0
70000285,100458,200873,2026-07-06 13:45:00,meter_limit,Digital Plus,dismissed,0
70000286,100268,200293,2026-07-07 14:02:00,paywall_view,Intro Offer,trial_started,0
70000287,100197,200393,2026-07-08 15:19:00,meter_limit,Annual Saver,converted,1299
70000288,100330,200122,2026-07-09 16:36:00,paywall_view,Digital,viewed,0
70000289,100510,200693,2026-07-10 17:53:00,meter_limit,Digital Plus,dismissed,0
70000290,100835,200300,2026-07-11 18:10:00,paywall_view,Intro Offer,trial_started,0
70000291,100752,200010,2026-07-12 19:27:00,meter_limit,Annual Saver,converted,2499
70000292,100511,200970,2026-07-13 20:44:00,paywall_view,Digital,viewed,0
70000293,100993,200598,2026-07-14 21:01:00,meter_limit,Digital Plus,dismissed,0
70000294,100297,200920,2026-07-15 08:18:00,paywall_view,Intro Offer,trial_started,0
70000295,100130,200173,2026-07-16 09:35:00,meter_limit,Annual Saver,converted,899
70000296,100997,200310,2026-07-17 10:52:00,paywall_view,Digital,viewed,0
70000297,100667,200419,2026-07-18 11:09:00,meter_limit,Digital Plus,dismissed,0
70000298,100934,200718,2026-07-19 12:26:00,paywall_view,Intro Offer,trial_started,0
70000299,100572,200629,2026-07-20 13:43:00,meter_limit,Annual Saver,converted,1299
70000300,100807,200733,2026-06-01 14:00:00,paywall_view,Digital,viewed,0
70000301,100427,200613,2026-06-02 15:17:00,meter_limit,Digital Plus,dismissed,0
70000302,100751,200450,2026-06-03 16:34:00,paywall_view,Intro Offer,trial_started,0
70000303,100548,200112,2026-06-04 17:51:00,meter_limit,Annual Saver,converted,1299
70000304,100155,200917,2026-06-05 18:08:00,paywall_view,Digital,viewed,0
70000305,100117,200504,2026-06-06 19:25:00,meter_limit,Digital Plus,dismissed,0
70000306,100430,200497,2026-06-07 20:42:00,paywall_view,Intro Offer,trial_started,0
70000307,100944,200682,2026-06-08 21:59:00,meter_limit,Annual Saver,converted,2499
70000308,100282,200653,2026-06-09 08:16:00,paywall_view,Digital,viewed,0
70000309,100146,200259,2026-06-10 09:33:00,meter_limit,Digital Plus,dismissed,0
70000310,100217,200962,2026-06-11 10:50:00,paywall_view,Intro Offer,trial_started,0
70000311,100836,200121,2026-06-12 11:07:00,meter_limit,Annual Saver,converted,899
70000312,100579,200503,2026-06-13 12:24:00,paywall_view,Digital,viewed,0
70000313,100812,200444,2026-06-14 13:41:00,meter_limit,Digital Plus,dismissed,0
70000314,100171,200723,2026-06-15 14:58:00,paywall_view,Intro Offer,trial_started,0
70000315,100024,200748,2026-06-16 15:15:00,meter_limit,Annual Saver,converted,899
70000316,100387,200332,2026-06-17 16:32:00,paywall_view,Digital,viewed,0
70000317,100941,200452,2026-06-18 17:49:00,meter_limit,Digital Plus,dismissed,0
70000318,100591,200765,2026-06-19 18:06:00,paywall_view,Intro Offer,trial_started,0
70000319,100669,200770,2026-06-20 19:23:00,meter_limit,Annual Saver,converted,1299
70000320,100104,200821,2026-06-21 20:40:00,paywall_view,Digital,viewed,0
70000321,100612,200327,2026-06-22 21:57:00,meter_limit,Digital Plus,dismissed,0
70000322,100952,200750,2026-06-23 08:14:00,paywall_view,Intro Offer,trial_started,0
70000323,100069,200490,2026-06-24 09:31:00,meter_limit,Annual Saver,converted,899
70000324,100398,200286,2026-06-25 10:48:00,paywall_view,Digital,viewed,0
70000325,100178,200411,2026-06-26 11:05:00,meter_limit,Digital Plus,dismissed,0
70000326,100786,200144,2026-06-27 12:22:00,paywall_view,Intro Offer,trial_started,0
